matchId,teamId,side,win,firstBlood,firstTower,firstInhibitor,firstDragon,firstBaron,firstHerald,championKills,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
BR1_2862377433,100,blue,True,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2862377433,200,red,False,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2862685890,100,blue,True,False,True,True,True,False,True,38,11,3,1,1,2
BR1_2862685890,200,red,False,True,False,False,False,True,False,19,1,0,0,2,0
BR1_2859251123,100,blue,False,True,True,False,True,False,False,30,7,0,1,2,1
BR1_2859251123,200,red,True,False,False,True,False,True,True,29,10,2,2,3,1
BR1_2861926996,100,blue,False,True,False,True,True,False,False,39,6,1,1,0,1
BR1_2861926996,200,red,True,False,True,False,False,True,True,31,9,1,1,5,1
BR1_2861692298,100,blue,False,True,False,False,False,False,False,36,3,0,0,0,1
BR1_2861692298,200,red,True,False,True,True,True,True,True,44,10,2,2,3,1
BR1_2860320723,100,blue,False,True,True,False,False,False,True,15,2,0,0,1,1
BR1_2860320723,200,red,True,False,False,True,True,True,False,34,9,1,1,3,1
BR1_2862613692,100,blue,False,False,True,False,False,False,False,37,3,0,0,1,0
BR1_2862613692,200,red,True,True,False,True,True,True,True,36,10,1,2,3,1
BR1_2864732390,100,blue,False,False,False,True,True,False,True,57,6,1,1,3,1
BR1_2864732390,200,red,True,True,True,False,False,True,False,49,9,1,1,2,0
BR1_2862813509,100,blue,False,False,False,False,False,False,False,6,1,0,0,0,0
BR1_2862813509,200,red,True,True,True,True,False,True,True,24,9,1,0,2,2
BR1_2864392036,100,blue,True,True,True,True,True,True,True,47,8,1,1,4,2
BR1_2864392036,200,red,False,False,False,False,False,False,False,27,3,0,0,0,0
BR1_2861770273,100,blue,True,True,False,True,False,True,False,35,7,1,0,3,1
BR1_2861770273,200,red,False,False,True,False,False,False,True,25,4,0,0,0,1
BR1_2864750723,100,blue,False,False,False,False,False,False,False,13,0,0,0,0,0
BR1_2864750723,200,red,True,True,True,True,False,True,True,34,9,2,0,1,2
BR1_2861370386,100,blue,False,True,False,False,False,False,False,12,0,0,0,0,0
BR1_2861370386,200,red,True,False,True,False,False,True,True,27,5,0,0,3,2
BR1_2865494097,100,blue,False,False,False,False,False,False,False,9,0,0,0,0,0
BR1_2865494097,200,red,True,True,True,False,False,True,True,22,3,0,0,1,2
BR1_2865182585,100,blue,False,True,True,False,True,True,True,24,3,0,1,3,2
BR1_2865182585,200,red,True,False,False,True,False,False,False,32,8,1,0,1,0
BR1_2862646521,100,blue,True,False,False,False,True,True,True,29,6,0,1,4,2
BR1_2862646521,200,red,False,True,True,False,False,False,False,17,3,0,0,0,0
BR1_2862743483,100,blue,False,False,True,False,False,False,False,19,2,0,0,1,0
BR1_2862743483,200,red,True,True,False,True,True,True,True,34,9,2,1,3,2
BR1_2863323276,100,blue,False,True,False,False,False,False,False,9,1,0,0,0,0
BR1_2863323276,200,red,True,False,True,True,False,True,True,25,10,2,0,2,2
BR1_2860905065,100,blue,True,False,True,True,True,True,True,36,8,1,1,2,2
BR1_2860905065,200,red,False,True,False,False,False,False,False,26,3,0,0,1,0
BR1_2861857337,100,blue,False,False,True,False,False,False,False,27,3,0,0,0,0
BR1_2861857337,200,red,True,True,False,True,True,True,True,42,10,2,1,3,2
BR1_2858485434,100,blue,True,True,True,True,True,True,False,28,9,1,1,3,1
BR1_2858485434,200,red,False,False,False,False,False,False,True,10,1,0,0,0,1
BR1_2862589244,100,blue,True,True,True,True,True,True,False,51,10,2,1,4,1
BR1_2862589244,200,red,False,False,False,False,False,False,True,32,10,2,2,2,1
BR1_2863296498,100,blue,False,False,False,False,False,False,False,3,0,0,0,0,0
BR1_2863296498,200,red,True,True,True,False,False,True,True,12,3,0,0,1,2
BR1_2858513560,100,blue,True,True,True,True,False,True,True,42,9,1,0,3,2
BR1_2858513560,200,red,False,False,False,False,True,False,False,38,3,0,2,2,0
BR1_2860942910,100,blue,True,True,True,False,False,False,True,28,7,1,0,0,2
BR1_2860942910,200,red,False,False,False,True,False,True,False,21,6,1,0,4,0
BR1_2865054208,100,blue,True,False,True,True,False,False,True,41,7,1,1,2,2
BR1_2865054208,200,red,False,True,False,False,True,True,False,21,4,0,1,2,0
BR1_2859674962,100,blue,True,True,False,True,True,False,False,33,8,1,1,1,0
BR1_2859674962,200,red,False,False,True,False,False,True,True,28,3,0,0,2,1
BR1_2863852096,100,blue,False,False,False,False,False,False,True,6,0,0,0,0,1
BR1_2863852096,200,red,True,True,True,False,False,True,False,13,2,0,0,1,0
BR1_2862686527,100,blue,True,True,True,False,False,True,True,17,2,0,0,1,1
BR1_2862686527,200,red,False,False,False,False,False,False,False,13,1,0,0,1,0
BR1_2860299170,100,blue,False,True,True,False,False,False,True,10,1,0,0,0,1
BR1_2860299170,200,red,True,False,False,False,False,True,False,20,1,0,0,3,1
BR1_2865529018,100,blue,False,False,False,False,False,False,False,9,3,0,0,1,0
BR1_2865529018,200,red,True,True,True,True,True,True,True,38,10,2,1,2,2
BR1_2859737224,100,blue,False,False,True,False,False,False,True,24,4,0,0,0,1
BR1_2859737224,200,red,True,True,False,True,True,True,False,45,11,3,1,3,0
BR1_2863531286,100,blue,True,False,True,True,True,False,True,29,8,1,1,1,2
BR1_2863531286,200,red,False,True,False,False,False,True,False,17,3,0,1,2,0
BR1_2865446492,100,blue,False,True,True,False,False,False,True,12,1,0,0,0,1
BR1_2865446492,200,red,True,False,False,False,False,True,False,26,4,0,0,1,1
BR1_2858016931,100,blue,False,False,False,False,False,False,True,15,3,0,0,0,1
BR1_2858016931,200,red,True,True,True,True,True,True,False,24,11,4,2,4,1
BR1_2859615220,100,blue,False,True,False,False,False,False,False,16,4,0,0,0,1
BR1_2859615220,200,red,True,False,True,True,True,True,True,26,11,2,1,4,1
BR1_2860111945,100,blue,True,False,True,True,True,False,True,27,7,1,1,2,2
BR1_2860111945,200,red,False,True,False,False,False,True,False,27,1,0,0,2,0
BR1_2863609880,100,blue,True,False,False,True,True,True,True,36,6,1,2,3,2
BR1_2863609880,200,red,False,True,True,False,False,False,False,27,5,0,0,1,0
BR1_2861965268,100,blue,False,False,True,False,True,False,True,34,4,0,1,0,2
BR1_2861965268,200,red,True,True,False,True,False,True,False,36,7,1,1,4,0
BR1_2863256178,100,blue,True,False,False,True,True,True,False,44,11,2,1,2,0
BR1_2863256178,200,red,False,True,True,False,False,False,True,20,4,0,0,1,2
BR1_2860527786,100,blue,False,True,True,False,False,True,True,19,4,0,0,3,2
BR1_2860527786,200,red,True,False,False,True,True,False,False,37,11,2,1,1,0
BR1_2862089770,100,blue,True,True,False,True,True,True,False,31,10,4,2,4,1
BR1_2862089770,200,red,False,False,True,False,False,False,True,16,6,0,0,2,1
BR1_2865019750,100,blue,False,True,False,False,False,False,False,31,2,0,0,0,1
BR1_2865019750,200,red,True,False,True,True,True,True,True,36,9,1,1,3,1
BR1_2862117985,100,blue,True,True,True,False,False,True,False,22,3,0,0,2,1
BR1_2862117985,200,red,False,False,False,False,False,False,True,6,2,0,0,0,1
BR1_2859757283,100,blue,True,True,False,False,True,True,True,37,8,1,3,4,2
BR1_2859757283,200,red,False,False,True,True,False,False,False,25,10,3,0,1,0
BR1_2865483383,100,blue,False,True,False,False,False,True,False,19,3,0,0,2,1
BR1_2865483383,200,red,True,False,True,True,True,False,True,33,11,2,2,2,1
BR1_2859233119,100,blue,True,True,True,True,True,False,True,32,9,1,1,2,2
BR1_2859233119,200,red,False,False,False,False,False,True,False,14,2,0,0,1,0
BR1_2863570307,100,blue,False,True,False,False,False,True,False,27,1,0,0,1,0
BR1_2863570307,200,red,True,False,True,True,True,False,True,45,11,3,1,2,2
BR1_2862088695,100,blue,False,True,True,False,True,True,False,25,4,0,1,4,1
BR1_2862088695,200,red,True,False,False,True,False,False,True,29,8,1,1,0,1
BR1_2859544058,100,blue,False,False,False,False,False,False,False,12,0,0,0,0,0
BR1_2859544058,200,red,True,True,True,True,True,True,True,29,10,2,1,2,2
BR1_2858584189,100,blue,False,True,True,True,True,True,True,49,8,3,1,4,2
BR1_2858584189,200,red,True,False,False,False,False,False,False,44,7,1,1,2,0
BR1_2858780191,100,blue,True,False,True,False,True,True,True,31,6,0,1,2,2
BR1_2858780191,200,red,False,True,False,False,False,False,False,23,2,0,0,1,0
BR1_2858617675,100,blue,False,True,True,True,True,False,True,33,8,1,1,1,2
BR1_2858617675,200,red,True,False,False,False,False,True,False,28,8,1,1,3,0
BR1_2862962639,100,blue,False,True,False,False,False,True,True,6,1,0,0,1,1
BR1_2862962639,200,red,True,False,True,False,False,False,False,17,2,0,0,1,0
BR1_2864801766,100,blue,True,False,False,True,True,False,False,24,9,2,1,1,1
BR1_2864801766,200,red,False,True,True,False,False,True,True,21,1,0,0,1,1
BR1_2862731214,100,blue,False,False,False,False,False,True,False,5,0,0,0,2,0
BR1_2862731214,200,red,True,True,True,False,False,False,True,18,6,0,0,1,2
BR1_2860536766,100,blue,False,False,True,False,False,True,False,27,3,0,0,2,0
BR1_2860536766,200,red,True,True,False,True,True,False,True,29,10,2,1,1,2
BR1_2859480040,100,blue,True,True,False,True,False,False,False,34,8,1,0,1,0
BR1_2859480040,200,red,False,False,True,False,True,True,True,19,4,0,2,4,2
BR1_2862539230,100,blue,True,True,True,True,True,False,False,40,10,2,1,2,0
BR1_2862539230,200,red,False,False,False,False,False,True,True,13,2,0,0,2,2
BR1_2864669820,100,blue,False,True,False,False,False,False,True,12,3,0,0,0,1
BR1_2864669820,200,red,True,False,True,True,True,True,False,28,8,2,1,4,1
BR1_2859535348,100,blue,True,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2859535348,200,red,False,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2862061029,100,blue,False,False,False,False,False,False,True,25,2,0,0,1,1
BR1_2862061029,200,red,True,True,True,True,True,True,False,37,10,2,1,3,1
BR1_2865447959,100,blue,False,True,True,False,False,False,True,11,2,0,0,0,1
BR1_2865447959,200,red,True,False,False,False,False,True,False,24,1,0,0,2,1
BR1_2860065864,100,blue,False,False,False,False,False,False,False,14,0,0,0,0,0
BR1_2860065864,200,red,True,True,True,True,False,True,True,26,10,2,0,2,2
BR1_2860564392,100,blue,True,True,True,False,True,True,True,64,8,1,2,5,1
BR1_2860564392,200,red,False,False,False,True,False,False,False,30,6,1,0,0,1
BR1_2862269156,100,blue,True,True,True,True,True,False,True,47,11,4,1,3,2
BR1_2862269156,200,red,False,False,False,False,False,True,False,24,2,0,0,1,0
BR1_2854664253,100,blue,False,True,True,True,True,False,True,41,7,1,1,3,2
BR1_2854664253,200,red,True,False,False,False,False,True,False,35,11,3,1,2,0
BR1_2864498986,100,blue,True,True,False,True,True,False,False,38,11,5,2,2,1
BR1_2864498986,200,red,False,False,True,False,False,True,True,35,1,0,0,1,1
BR1_2863275748,100,blue,True,True,True,True,True,False,True,44,9,1,1,2,2
BR1_2863275748,200,red,False,False,False,False,False,True,False,30,0,0,0,1,0
BR1_2862709197,100,blue,True,True,False,True,True,True,True,37,8,1,1,4,2
BR1_2862709197,200,red,False,False,True,False,False,False,False,25,3,0,0,1,0
BR1_2861384301,100,blue,True,False,True,True,False,True,True,31,7,1,0,2,2
BR1_2861384301,200,red,False,True,False,False,False,False,False,21,0,0,0,0,0
BR1_2862218715,100,blue,False,True,False,False,False,True,True,12,0,0,0,1,1
BR1_2862218715,200,red,True,False,True,False,False,False,False,25,5,0,0,1,0
BR1_2858661995,100,blue,True,True,True,False,False,True,True,22,1,0,0,1,1
BR1_2858661995,200,red,False,False,False,False,False,False,False,9,0,0,0,0,0
BR1_2864207055,100,blue,True,False,True,True,True,False,True,28,6,1,1,2,2
BR1_2864207055,200,red,False,True,False,False,False,True,False,16,2,0,0,2,0
BR1_2864400908,100,blue,True,False,True,False,True,False,False,41,8,1,1,2,0
BR1_2864400908,200,red,False,True,False,True,False,True,True,26,6,1,0,2,2
BR1_2857932212,100,blue,False,True,False,False,False,False,False,21,2,0,0,0,0
BR1_2857932212,200,red,True,False,True,True,True,True,True,35,8,1,1,3,2
BR1_2857959209,100,blue,False,False,True,False,True,True,True,30,4,0,1,2,2
BR1_2857959209,200,red,True,True,False,True,False,False,False,36,7,1,0,1,0
BR1_2857893342,100,blue,False,True,True,True,False,False,True,50,6,1,0,1,1
BR1_2857893342,200,red,True,False,False,False,True,True,False,44,10,2,2,4,1
BR1_2858754568,100,blue,False,True,False,False,False,False,True,32,3,0,0,0,2
BR1_2858754568,200,red,True,False,True,True,True,True,False,34,11,3,1,4,0
BR1_2860006871,100,blue,False,True,True,False,False,True,False,22,4,0,0,2,0
BR1_2860006871,200,red,True,False,False,True,True,False,True,33,4,1,1,2,2
BR1_2862245406,100,blue,False,False,False,False,False,True,False,14,1,0,0,1,0
BR1_2862245406,200,red,True,True,True,True,True,False,True,36,10,2,1,1,2
BR1_2855318145,100,blue,True,True,True,True,True,True,True,37,7,1,1,3,2
BR1_2855318145,200,red,False,False,False,False,False,False,False,28,3,0,0,0,0
BR1_2860991105,100,blue,False,False,False,False,False,False,True,21,0,0,0,0,1
BR1_2860991105,200,red,True,True,True,False,True,True,False,30,4,0,1,3,0
BR1_2865482549,100,blue,True,True,True,True,False,True,True,43,9,1,0,3,2
BR1_2865482549,200,red,False,False,False,False,True,False,False,25,1,0,1,0,0
BR1_2865508690,100,blue,False,True,False,False,False,False,False,20,1,0,0,0,0
BR1_2865508690,200,red,True,False,True,True,True,True,True,43,11,2,1,3,2
BR1_2863860644,100,blue,True,False,True,True,True,True,False,49,9,2,2,2,1
BR1_2863860644,200,red,False,True,False,False,False,False,True,24,8,1,0,2,1
BR1_2863437923,100,blue,True,False,True,True,False,False,False,38,8,1,0,1,0
BR1_2863437923,200,red,False,True,False,False,True,True,True,28,2,0,1,3,2
BR1_2861944888,100,blue,False,False,False,False,False,False,False,24,2,0,0,0,0
BR1_2861944888,200,red,True,True,True,True,True,True,True,43,11,2,2,4,2
BR1_2859603672,100,blue,True,False,True,False,False,True,False,22,5,0,0,1,1
BR1_2859603672,200,red,False,True,False,False,False,False,True,7,0,0,0,1,1
BR1_2865068222,100,blue,False,False,False,False,False,True,False,5,0,0,0,1,0
BR1_2865068222,200,red,True,True,True,False,False,False,True,14,1,0,0,0,1
BR1_2862871422,100,blue,False,False,False,False,True,False,False,18,4,0,1,4,0
BR1_2862871422,200,red,True,True,True,True,False,True,True,27,10,2,1,1,2
BR1_2862053662,100,blue,True,True,True,True,True,True,True,41,11,4,1,3,1
BR1_2862053662,200,red,False,False,False,False,False,False,False,22,0,0,0,1,0
BR1_2860219580,100,blue,False,True,False,False,False,True,False,8,0,0,0,1,0
BR1_2860219580,200,red,True,False,True,False,False,False,True,12,3,0,0,1,2
BR1_2863249244,100,blue,True,True,True,True,True,True,True,38,10,1,1,2,1
BR1_2863249244,200,red,False,False,False,False,False,False,False,19,3,0,0,1,1
BR1_2860237960,100,blue,True,True,False,True,True,False,False,22,8,1,1,1,1
BR1_2860237960,200,red,False,False,True,False,False,True,True,17,3,0,0,3,1
BR1_2860339444,100,blue,False,False,False,False,False,False,True,27,4,0,0,1,1
BR1_2860339444,200,red,True,True,True,True,True,True,False,36,8,1,1,2,1
BR1_2857873957,100,blue,False,True,True,False,False,False,True,22,3,0,0,2,1
BR1_2857873957,200,red,True,False,False,True,True,True,False,34,9,2,1,2,1
BR1_2857402414,100,blue,False,False,True,False,False,False,True,11,1,0,0,0,1
BR1_2857402414,200,red,True,True,False,True,False,True,False,26,9,1,0,2,1
BR1_2863406752,100,blue,False,False,False,False,False,True,True,4,0,0,0,1,1
BR1_2863406752,200,red,True,True,True,False,False,False,False,17,2,0,0,0,1
BR1_2860078751,100,blue,True,False,True,True,True,True,False,23,9,2,1,2,1
BR1_2860078751,200,red,False,True,False,False,False,False,True,9,2,0,0,1,1
BR1_2858249279,100,blue,False,False,False,False,False,True,False,19,2,0,0,1,1
BR1_2858249279,200,red,True,True,True,True,True,False,True,41,9,2,1,3,1
BR1_2863313977,100,blue,True,True,True,True,False,True,True,16,5,1,0,1,2
BR1_2863313977,200,red,False,False,False,False,False,False,False,6,0,0,0,0,0
BR1_2865210455,100,blue,False,True,False,False,False,False,True,16,3,0,0,0,1
BR1_2865210455,200,red,True,False,True,True,True,True,False,23,11,3,1,3,1
BR1_2859556117,100,blue,True,True,True,False,False,True,True,19,3,0,0,1,1
BR1_2859556117,200,red,False,False,False,False,False,False,False,3,0,0,0,0,0
BR1_2860944230,100,blue,False,True,False,False,False,True,False,13,0,0,0,2,0
BR1_2860944230,200,red,True,False,True,True,True,False,True,28,8,1,1,1,2
BR1_2862333889,100,blue,True,True,True,True,True,False,True,30,8,1,1,2,1
BR1_2862333889,200,red,False,False,False,False,False,True,False,17,2,0,0,1,1
BR1_2864900663,100,blue,True,True,True,False,False,True,True,22,1,0,0,1,2
BR1_2864900663,200,red,False,False,False,False,False,False,False,8,0,0,0,0,0
BR1_2862609262,100,blue,True,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2862609262,200,red,False,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2859538458,100,blue,True,True,True,True,False,True,True,28,9,2,0,2,2
BR1_2859538458,200,red,False,False,False,False,False,False,False,9,0,0,0,1,0
BR1_2861801854,100,blue,False,True,True,False,True,True,False,45,3,0,1,3,0
BR1_2861801854,200,red,True,False,False,True,False,False,True,39,7,1,1,1,2
BR1_2860283324,100,blue,True,True,False,True,True,True,False,28,9,2,1,2,1
BR1_2860283324,200,red,False,False,True,False,False,False,True,12,1,0,0,2,1
BR1_2860378458,100,blue,True,False,False,True,True,False,False,45,9,3,4,4,0
BR1_2860378458,200,red,False,True,True,False,False,True,True,34,6,1,0,3,2
BR1_2862699704,100,blue,False,True,False,False,True,False,False,45,0,0,1,1,0
BR1_2862699704,200,red,True,False,True,True,False,True,True,41,11,2,0,3,2
BR1_2857427855,100,blue,False,True,True,False,False,False,True,31,7,1,0,1,2
BR1_2857427855,200,red,True,False,False,True,True,True,False,32,10,2,1,3,0
BR1_2865134450,100,blue,False,True,False,False,False,False,True,13,2,0,0,0,1
BR1_2865134450,200,red,True,False,True,True,True,True,False,28,11,2,1,2,1
BR1_2863235212,100,blue,True,False,True,True,True,True,True,39,8,1,1,3,2
BR1_2863235212,200,red,False,True,False,False,False,False,False,16,0,0,0,0,0
BR1_2862239761,100,blue,True,True,True,False,False,True,False,28,5,0,0,1,1
BR1_2862239761,200,red,False,False,False,False,False,False,True,14,1,0,0,1,1
BR1_2862137742,100,blue,False,True,True,False,False,True,True,13,1,0,0,1,1
BR1_2862137742,200,red,True,False,False,False,False,False,False,17,1,0,0,0,0
BR1_2859525186,100,blue,False,False,False,False,False,True,False,30,2,0,0,1,1
BR1_2859525186,200,red,True,True,True,True,True,False,True,31,11,2,1,2,1
BR1_2860962704,100,blue,True,True,False,False,False,False,False,34,4,0,0,0,1
BR1_2860962704,200,red,False,False,True,False,False,True,True,19,3,0,0,3,1
BR1_2864820873,100,blue,True,True,False,True,True,True,True,36,10,2,2,3,1
BR1_2864820873,200,red,False,False,True,False,False,False,False,31,6,0,0,2,1
